遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,108000105,2019/05/02,3722100,74442,1133100,06,07,08,10,11,12,14,15,17,19,22,24
雙贏彩,108000106,2019/05/03,4128450,82569,17416600,01,02,04,10,12,13,14,18,19,20,22,24
雙贏彩,108000107,2019/05/04,5240000,104800,1007800,01,03,06,09,11,16,17,18,21,22,23,24
雙贏彩,108000108,2019/05/06,4143100,82862,1025000,01,02,05,07,08,14,16,17,19,20,21,22
雙贏彩,108000109,2019/05/07,4015200,80304,1509000,02,03,04,09,10,14,15,16,17,19,21,23
雙贏彩,108000110,2019/05/08,5274000,105480,2061300,02,04,06,09,10,12,16,19,20,21,22,24
雙贏彩,108000111,2019/05/09,3962000,79240,855500,02,04,05,09,11,15,17,18,21,22,23,24
雙贏彩,108000112,2019/05/10,4258500,85170,1676800,01,02,03,06,11,13,14,18,19,20,21,23
雙贏彩,108000113,2019/05/11,5304300,106086,1923500,04,05,07,08,10,12,17,18,20,21,23,24
雙贏彩,108000114,2019/05/13,4483050,89661,1190400,01,02,05,07,08,09,13,14,16,18,20,22
雙贏彩,108000115,2019/05/14,3972000,79440,1204500,01,02,03,05,06,07,08,11,13,15,17,24
雙贏彩,108000116,2019/05/15,5138800,102776,1684700,03,04,07,08,12,13,14,15,17,18,22,24
雙贏彩,108000117,2019/05/16,3975650,79513,853800,01,03,06,08,11,13,14,17,19,20,22,23
雙贏彩,108000118,2019/05/17,3916350,78327,810500,01,03,07,10,12,13,14,15,16,18,20,21
雙贏彩,108000119,2019/05/18,4789050,95781,1674100,03,04,05,06,08,13,14,16,17,18,19,20
雙贏彩,108000120,2019/05/20,3994850,79897,1171800,01,02,04,07,08,12,13,15,16,18,21,23
雙贏彩,108000121,2019/05/21,3862650,77253,1013200,02,06,08,12,15,16,18,19,20,22,23,24
雙贏彩,108000122,2019/05/22,4863650,97273,17176900,01,02,03,06,08,10,12,14,17,20,21,23
雙贏彩,108000123,2019/05/23,3828900,76578,934100,04,06,07,09,10,12,15,17,18,19,22,23
雙贏彩,108000124,2019/05/24,3868050,77361,778600,03,04,10,12,13,15,18,19,20,22,23,24
雙贏彩,108000125,2019/05/25,4623600,92472,1339400,01,02,03,04,05,08,10,12,15,16,18,22
雙贏彩,108000126,2019/05/27,4002200,80044,1276100,01,02,04,05,06,08,10,11,17,18,19,23
雙贏彩,108000127,2019/05/28,3543400,70868,1019900,01,04,06,08,09,10,12,13,17,18,20,21
雙贏彩,108000128,2019/05/29,4608600,92172,1611900,02,04,05,06,10,12,13,14,15,16,21,24
雙贏彩,108000129,2019/05/30,3680150,73603,1037100,02,06,07,10,13,15,17,18,19,20,21,22
雙贏彩,108000130,2019/05/31,3737950,74759,1264900,01,03,04,07,08,10,11,13,18,20,23,24
雙贏彩,108000131,2019/06/01,4407900,88158,1893400,03,05,06,07,09,11,13,14,15,16,17,18
雙贏彩,108000132,2019/06/03,4001250,80025,970500,02,05,07,11,12,13,14,16,17,19,23,24
雙贏彩,108000133,2019/06/04,3492950,69859,1033200,09,10,11,12,13,15,17,18,20,21,23,24
雙贏彩,108000134,2019/06/05,4599950,91999,1247300,03,04,05,07,08,11,13,14,16,18,20,23
雙贏彩,108000135,2019/06/06,3751050,75021,1456500,01,06,07,09,11,13,15,16,18,19,20,23
雙贏彩,108000136,2019/06/07,3601950,72039,796900,01,03,04,05,06,07,10,14,15,17,19,24
雙贏彩,108000137,2019/06/08,4404800,88096,636700,01,02,03,04,07,08,10,13,19,21,23,24
雙贏彩,108000138,2019/06/10,3791250,75825,768300,03,07,10,11,12,13,16,17,18,21,23,24
雙贏彩,108000139,2019/06/11,3315850,66317,918700,03,04,06,08,09,10,12,13,14,16,18,23
雙贏彩,108000140,2019/06/12,4222600,84452,1317800,01,02,06,08,09,13,14,17,18,20,23,24
雙贏彩,108000141,2019/06/13,3516600,70332,839800,02,05,06,09,10,11,13,15,16,17,22,24
雙贏彩,108000142,2019/06/14,3663650,73273,1165200,02,03,04,05,07,08,10,11,12,16,18,20
雙贏彩,108000143,2019/06/15,4491600,89832,1557200,02,03,05,07,09,11,13,16,17,18,19,22
雙贏彩,108000144,2019/06/17,3938250,78765,1788500,01,02,05,07,10,12,15,16,17,20,22,24
雙贏彩,108000145,2019/06/18,3504100,70082,970300,01,03,05,07,10,11,14,15,16,18,21,24
雙贏彩,108000146,2019/06/19,4339350,86787,1239400,03,04,05,09,12,14,15,18,20,21,22,23
雙贏彩,108000147,2019/06/20,3488700,69774,968200,02,03,04,08,11,12,16,18,19,20,23,24
雙贏彩,108000148,2019/06/21,3494650,69893,30616100,06,07,09,11,12,13,14,15,18,20,21,22
雙贏彩,108000149,2019/06/22,4363750,87275,2004800,01,02,03,05,06,09,12,15,16,19,22,24
雙贏彩,108000150,2019/06/24,3702850,74057,953700,01,03,04,05,10,13,15,19,20,21,22,24
雙贏彩,108000151,2019/06/25,3355950,67119,498000,02,03,06,07,08,09,15,17,19,20,21,23
雙贏彩,108000152,2019/06/26,4296100,85922,1678400,04,06,08,09,10,11,12,14,16,17,18,21
雙贏彩,108000153,2019/06/27,3566450,71329,1172100,02,06,07,09,14,15,16,17,18,19,21,22
雙贏彩,108000154,2019/06/28,3575600,71512,16045100,03,05,08,09,10,12,15,16,17,19,20,23
雙贏彩,108000155,2019/06/29,4214350,84287,1404400,02,03,05,06,10,11,12,15,18,21,22,24
雙贏彩,108000156,2019/07/01,3792250,75845,872400,04,06,09,10,11,13,17,18,19,20,21,23
雙贏彩,108000157,2019/07/02,3234400,64688,691300,02,04,07,09,10,11,12,13,14,15,19,20
雙贏彩,108000158,2019/07/03,4181500,83630,971700,01,04,05,06,07,10,14,15,17,18,19,22
雙贏彩,108000159,2019/07/04,3465700,69314,1028000,01,02,03,06,07,09,13,14,16,19,20,23
雙贏彩,108000160,2019/07/05,3531400,70628,1188800,01,02,03,04,08,10,14,16,17,19,22,23
雙贏彩,108000161,2019/07/06,4246950,84939,689300,01,02,06,09,10,11,12,14,15,21,23,24
雙贏彩,108000162,2019/07/08,3778500,75570,641800,04,05,06,07,09,10,12,15,18,20,22,23
雙贏彩,108000163,2019/07/09,3375200,67504,918400,01,04,09,10,12,14,15,16,17,22,23,24
雙贏彩,108000164,2019/07/10,4222600,84452,1481800,01,03,04,05,07,08,10,12,13,16,22,23
雙贏彩,108000165,2019/07/11,3519500,70390,1133200,01,02,03,04,05,08,11,14,15,16,17,21
雙贏彩,108000166,2019/07/12,3501750,70035,1123200,03,04,07,08,10,12,13,17,20,21,23,24
雙贏彩,108000167,2019/07/13,4159400,83188,985400,07,08,09,11,13,14,16,18,20,21,22,23
雙贏彩,108000168,2019/07/15,3824200,76484,876700,02,03,05,12,13,14,15,16,17,18,19,23
雙贏彩,108000169,2019/07/16,3388650,67773,1219300,03,05,06,09,12,15,16,18,19,22,23,24
雙贏彩,108000170,2019/07/17,4113800,82276,1593300,04,07,10,11,12,13,14,16,19,20,23,24
雙贏彩,108000171,2019/07/18,3430700,68614,1552000,03,04,05,10,11,12,15,16,18,19,22,24
雙贏彩,108000172,2019/07/19,3358700,67174,904600,01,03,04,06,10,11,14,18,19,22,23,24
雙贏彩,108000173,2019/07/20,4035700,80714,1068400,06,07,08,09,10,12,14,16,17,19,21,23
雙贏彩,108000174,2019/07/22,3743600,74872,592200,04,06,08,11,13,15,16,17,19,20,21,24
雙贏彩,108000175,2019/07/23,3231900,64638,1155800,04,05,08,11,12,13,16,19,20,21,22,24
雙贏彩,108000176,2019/07/24,4087000,81740,1373100,02,03,06,09,12,13,15,16,18,19,21,22
雙贏彩,108000177,2019/07/25,3505400,70108,816100,01,03,04,06,07,09,17,18,20,21,22,24
雙贏彩,108000178,2019/07/26,3294750,65895,952300,01,02,04,06,07,09,11,17,18,19,20,22
雙贏彩,108000179,2019/07/27,3898500,77970,16494600,03,06,08,09,10,11,12,15,17,19,21,24
雙贏彩,108000180,2019/07/29,3807150,76143,1054300,01,03,04,05,08,11,14,17,18,21,23,24
雙贏彩,108000181,2019/07/30,3214500,64290,1411300,02,05,07,09,11,13,14,15,16,17,22,24
雙贏彩,108000182,2019/07/31,4031450,80629,3768000,01,02,05,07,09,12,14,16,18,20,22,23
雙贏彩,108000183,2019/08/01,3551800,71036,1799200,01,04,06,08,09,10,12,19,20,21,23,24
雙贏彩,108000184,2019/08/02,3275650,65513,956100,03,05,09,12,13,14,16,17,18,20,21,24
雙贏彩,108000185,2019/08/03,3979550,79591,1435100,01,02,05,06,10,11,14,16,17,19,22,23
雙贏彩,108000186,2019/08/05,3899000,77980,1382600,02,05,07,09,11,12,13,19,20,21,23,24
雙贏彩,108000187,2019/08/06,3287850,65757,627600,01,04,05,06,07,08,09,11,13,15,19,20
雙贏彩,108000188,2019/08/07,4042250,80845,1000600,01,02,04,05,12,13,14,15,18,20,22,24
雙贏彩,108000189,2019/08/08,3592550,71851,1368100,01,03,04,07,09,10,12,15,16,19,20,24
雙贏彩,108000190,2019/08/09,3080750,61615,1428500,01,02,03,04,08,09,10,14,15,16,22,24
雙贏彩,108000191,2019/08/10,4079350,81587,1186800,01,02,03,04,05,06,08,11,12,15,16,17
雙贏彩,108000192,2019/08/12,4149250,82985,1623800,03,05,07,11,13,14,15,16,18,19,21,22
雙贏彩,108000193,2019/08/13,3316350,66327,805800,01,04,06,07,09,10,15,16,17,18,22,23
雙贏彩,108000194,2019/08/14,4429900,88598,870200,03,05,07,08,09,11,13,14,15,20,21,24
雙贏彩,108000195,2019/08/15,3526150,70523,884300,02,03,04,08,10,11,12,13,19,21,23,24
雙贏彩,108000196,2019/08/16,3466550,69331,838400,01,02,04,07,08,09,13,15,16,17,19,24
雙贏彩,108000197,2019/08/17,4162500,83250,988900,01,03,06,08,09,12,13,15,16,21,22,23
雙贏彩,108000198,2019/08/19,3740700,74814,1143900,02,04,09,12,14,15,16,17,18,19,21,22
雙贏彩,108000199,2019/08/20,3319200,66384,800200,01,03,04,06,07,10,14,16,18,21,22,23
雙贏彩,108000200,2019/08/21,4201750,84035,1223000,03,04,05,07,08,09,10,12,13,15,16,20
雙贏彩,108000201,2019/08/22,3496300,69926,954600,03,06,07,08,09,10,13,15,18,19,20,21
雙贏彩,108000202,2019/08/23,3447800,68956,926500,01,04,06,07,11,12,13,14,17,19,21,23
雙贏彩,108000203,2019/08/24,3781950,75639,1462900,01,03,04,11,14,15,16,17,18,19,23,24
雙贏彩,108000204,2019/08/26,3717050,74341,1245600,01,02,05,08,09,14,15,18,21,22,23,24
雙贏彩,108000205,2019/08/27,3272300,65446,918400,02,04,05,07,10,12,15,16,19,20,23,24
雙贏彩,108000206,2019/08/28,4156350,83127,1119900,03,05,06,08,11,12,13,14,17,19,22,23
雙贏彩,108000207,2019/08/29,3341400,66828,1265100,01,03,07,09,11,12,13,15,16,21,23,24
雙贏彩,108000208,2019/08/30,3211950,64239,315100,02,03,05,06,07,11,13,15,16,19,21,24
雙贏彩,108000209,2019/08/31,3957950,79159,1155100,01,02,03,04,05,07,12,14,15,20,22,23
雙贏彩,108000210,2019/09/02,3503700,70074,654200,01,03,07,09,10,12,14,15,16,17,21,24
雙贏彩,108000211,2019/09/03,3074650,61493,1308800,02,03,06,09,10,11,12,15,16,20,22,24
雙贏彩,108000212,2019/09/04,3743050,74861,903000,04,06,07,09,10,13,14,17,18,20,21,22
雙贏彩,108000213,2019/09/05,3181250,63625,1206900,02,03,05,06,07,09,12,13,17,18,20,23
雙贏彩,108000214,2019/09/06,3187350,63747,849300,06,08,09,10,11,12,15,16,17,19,20,21
雙贏彩,108000215,2019/09/07,3891000,77820,1185400,02,03,05,07,10,14,15,16,18,19,22,24
