遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,109000078,2020/03/31,2699300,53986,15632600,03,04,05,06,10,11,14,17,18,20,22,23
雙贏彩,109000079,2020/04/01,3452450,69049,15736000,02,03,04,08,09,10,11,12,17,20,21,23
雙贏彩,109000080,2020/04/02,2702900,54058,1077500,06,09,10,11,12,14,15,16,17,19,20,24
雙贏彩,109000081,2020/04/03,2633600,52672,852000,02,05,09,10,11,13,14,17,18,19,21,23
雙贏彩,109000082,2020/04/04,3275900,65518,985700,01,02,03,04,06,08,09,11,12,15,19,24
雙贏彩,109000083,2020/04/06,2807550,56151,874300,01,02,07,09,12,16,17,18,19,22,23,24
雙贏彩,109000084,2020/04/07,2714100,54282,763400,02,03,04,06,10,12,13,15,18,19,21,24
雙贏彩,109000085,2020/04/08,3430500,68610,1048800,01,02,05,10,13,14,17,18,19,20,21,22
雙贏彩,109000086,2020/04/09,2729750,54595,1062600,01,02,06,07,08,10,13,15,17,20,21,24
雙贏彩,109000087,2020/04/10,2826350,56527,780600,02,03,04,07,09,10,11,14,15,19,20,23
雙贏彩,109000088,2020/04/11,3370100,67402,1038200,03,06,08,09,11,12,13,15,16,18,23,24
雙贏彩,109000089,2020/04/13,2925700,58514,880600,01,02,08,09,13,14,15,16,17,18,19,21
雙贏彩,109000090,2020/04/14,2719800,54396,959500,01,04,08,09,11,12,17,19,20,21,22,24
雙贏彩,109000091,2020/04/15,3371650,67433,692600,06,07,09,10,11,12,13,15,16,17,18,22
雙贏彩,109000092,2020/04/16,2677750,53555,671900,01,03,06,07,08,09,11,12,15,20,23,24
雙贏彩,109000093,2020/04/17,2776950,55539,270200,02,07,09,10,12,14,15,16,17,18,20,24
雙贏彩,109000094,2020/04/18,3273450,65469,1445600,01,03,04,05,06,07,08,12,14,16,20,23
雙贏彩,109000095,2020/04/20,2840850,56817,960500,01,02,04,05,06,07,08,13,15,20,22,23
雙贏彩,109000096,2020/04/21,2635100,52702,556700,03,04,05,11,14,15,17,20,21,22,23,24
雙贏彩,109000097,2020/04/22,3210200,64204,1018300,01,02,06,09,13,15,18,19,21,22,23,24
雙贏彩,109000098,2020/04/23,2578850,51577,437900,02,04,05,07,08,09,11,18,19,21,23,24
雙贏彩,109000099,2020/04/24,2667050,53341,637400,01,03,04,08,09,10,14,15,18,21,22,24
雙贏彩,109000100,2020/04/25,3233150,64663,811300,01,02,05,06,07,11,12,14,18,20,23,24
雙贏彩,109000101,2020/04/27,2803550,56071,1402200,02,05,06,07,08,10,13,15,16,19,20,23
雙贏彩,109000102,2020/04/28,2665950,53319,548000,02,03,06,08,11,16,17,19,20,21,22,24
雙贏彩,109000103,2020/04/29,3158900,63178,1190500,02,05,06,07,08,09,12,14,15,16,20,21
雙贏彩,109000104,2020/04/30,2633050,52661,734400,02,06,07,09,12,14,15,17,18,19,20,24
雙贏彩,109000105,2020/05/01,2697450,53949,491500,01,03,07,08,10,14,15,17,19,20,21,23
雙贏彩,109000106,2020/05/02,3103300,62066,974600,01,06,08,11,12,15,17,19,20,21,23,24
雙贏彩,109000107,2020/05/04,2738750,54775,733600,01,06,08,10,12,14,15,16,17,20,21,24
雙贏彩,109000108,2020/05/05,2759600,55192,782700,01,02,04,07,08,12,16,18,19,20,23,24
雙贏彩,109000109,2020/05/06,3307200,66144,935000,01,04,07,08,10,12,13,15,19,20,22,23
雙贏彩,109000110,2020/05/07,2729900,54598,1213500,01,04,06,09,12,14,15,16,20,21,23,24
雙贏彩,109000111,2020/05/08,2784600,55692,1182100,03,05,09,11,14,15,17,18,20,21,23,24
雙贏彩,109000112,2020/05/09,3344300,66886,1145600,01,02,03,05,09,11,15,17,19,20,22,24
雙贏彩,109000113,2020/05/11,2939800,58796,875400,03,06,07,10,11,12,14,16,17,19,20,21
雙贏彩,109000114,2020/05/12,2709500,54190,456500,03,07,09,11,12,13,16,18,19,20,22,24
雙贏彩,109000115,2020/05/13,3421100,68422,852900,03,04,05,07,09,10,11,13,15,19,20,24
雙贏彩,109000116,2020/05/14,2739500,54790,807900,01,03,04,05,07,10,11,12,13,20,23,24
雙贏彩,109000117,2020/05/15,2775500,55510,1161900,02,06,08,10,12,16,17,19,20,22,23,24
雙贏彩,109000118,2020/05/16,3231150,64623,605200,02,04,05,07,11,12,14,15,17,20,22,24
雙贏彩,109000119,2020/05/18,2849050,56981,782400,03,05,10,11,12,14,15,17,18,21,23,24
雙贏彩,109000120,2020/05/19,2465850,49317,326700,01,04,07,09,11,14,15,16,17,18,19,21
雙贏彩,109000121,2020/05/20,3325600,66512,1311200,01,02,03,06,07,14,15,18,19,21,23,24
雙贏彩,109000122,2020/05/21,2456600,49132,932100,02,03,08,09,11,12,14,16,18,20,22,23
雙贏彩,109000123,2020/05/22,2315350,46307,2291400,07,09,11,13,14,15,16,17,19,20,22,23
雙贏彩,109000124,2020/05/23,3246300,64926,883500,01,03,04,05,10,13,15,16,17,20,22,23
雙贏彩,109000125,2020/05/25,2911350,58227,457100,03,08,09,12,13,14,15,17,21,22,23,24
雙贏彩,109000126,2020/05/26,2539550,50791,932800,03,04,05,06,07,08,12,14,16,18,22,24
雙贏彩,109000127,2020/05/27,3116650,62333,15995400,01,02,04,09,12,13,15,16,19,20,21,22
雙贏彩,109000128,2020/05/28,2498600,49972,645400,01,02,04,06,08,09,13,15,16,17,18,19
雙贏彩,109000129,2020/05/29,2601550,52031,562500,01,03,05,07,11,16,18,20,21,22,23,24
雙贏彩,109000130,2020/05/30,3219700,64394,708800,01,02,08,11,13,14,15,16,17,18,20,24
雙贏彩,109000131,2020/06/01,2771250,55425,796900,01,03,05,06,07,09,10,12,15,22,23,24
雙贏彩,109000132,2020/06/02,2527500,50550,655300,01,02,03,04,06,08,09,11,13,21,23,24
雙贏彩,109000133,2020/06/03,3052750,61055,1074800,02,05,09,10,11,12,16,17,18,19,21,24
雙贏彩,109000134,2020/06/04,2554900,51098,1143400,02,03,05,07,09,12,13,15,17,19,20,22
雙贏彩,109000135,2020/06/05,2535850,50717,545500,04,09,10,11,13,15,18,19,20,21,22,24
雙贏彩,109000136,2020/06/06,3000100,60002,1396600,03,10,11,12,15,16,18,19,20,21,22,23
雙贏彩,109000137,2020/06/08,2686350,53727,755800,03,04,05,08,09,11,14,15,16,20,21,24
雙贏彩,109000138,2020/06/09,2408100,48162,743000,01,06,07,09,12,13,15,17,18,19,20,22
雙贏彩,109000139,2020/06/10,3056700,61134,600900,01,03,04,07,08,12,15,17,18,21,22,24
雙贏彩,109000140,2020/06/11,2543700,50874,557700,03,04,05,07,09,12,13,16,19,20,21,23
雙贏彩,109000141,2020/06/12,2475350,49507,722900,01,03,04,06,09,10,12,13,16,17,23,24
雙贏彩,109000142,2020/06/13,2961700,59234,901300,02,04,06,07,08,09,10,12,13,16,22,23
雙贏彩,109000143,2020/06/15,2721650,54433,683900,04,05,07,09,11,13,14,15,17,19,20,22
雙贏彩,109000144,2020/06/16,2443250,48865,415000,01,02,03,04,07,10,11,15,16,19,20,23
雙贏彩,109000145,2020/06/17,3019850,60397,998300,01,02,03,04,06,08,10,12,13,15,16,17
雙贏彩,109000146,2020/06/18,2503850,50077,747000,01,03,06,08,09,13,14,17,18,20,21,22
雙贏彩,109000147,2020/06/19,2457450,49149,1058100,02,03,05,11,14,15,16,19,21,22,23,24
雙贏彩,109000148,2020/06/20,3077650,61553,594100,03,04,06,11,13,15,16,17,18,21,22,23
雙贏彩,109000149,2020/06/22,2711000,54220,343800,02,03,04,06,09,11,12,14,19,20,21,23
雙贏彩,109000150,2020/06/23,2398150,47963,432700,02,03,04,05,06,10,15,16,18,20,21,23
雙贏彩,109000151,2020/06/24,3015350,60307,610900,03,05,06,08,09,10,12,15,18,20,22,23
雙贏彩,109000152,2020/06/25,2414700,48294,924200,01,04,07,10,12,13,14,17,18,20,22,23
雙贏彩,109000153,2020/06/26,2297650,45953,567400,02,04,08,10,11,16,17,19,20,22,23,24
雙贏彩,109000154,2020/06/27,2888950,57779,903200,01,03,04,07,09,10,13,14,18,20,22,24
雙贏彩,109000155,2020/06/29,2696300,53926,1076600,03,06,08,09,12,14,15,18,19,20,21,24
雙贏彩,109000156,2020/06/30,2357700,47154,514900,06,08,10,11,12,14,15,16,20,21,23,24
