遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙, 
賓果賓果,103059326,2014/10/20,159200,6368,39450,02,15,16,17,22,29,30,35,42,52,53,55,57,60,64,66,67,72,76,77,35,－,
賓果賓果,103059327,2014/10/20,169300,6772,54550,03,05,10,15,21,27,35,36,41,44,46,47,49,50,52,59,60,69,73,79,21,－,
賓果賓果,103059328,2014/10/20,205500,8220,389400,05,11,18,19,21,22,23,24,25,27,30,32,33,38,41,48,64,66,71,72,33,小,
賓果賓果,103059329,2014/10/20,151825,6073,42375,01,04,05,10,17,23,24,28,31,33,37,51,54,58,60,62,68,72,73,77,51,－,
賓果賓果,103059330,2014/10/20,150275,6011,38750,02,07,12,18,30,32,34,35,37,39,43,46,50,59,62,66,72,74,78,80,78,－,
賓果賓果,103059331,2014/10/20,154750,6190,52525,03,06,07,08,14,26,29,35,36,41,50,56,59,60,61,63,66,71,76,79,76,－,
賓果賓果,103059332,2014/10/20,137825,5513,68100,01,02,08,11,12,16,18,24,29,33,37,43,45,54,55,59,66,70,74,77,66,－,
賓果賓果,103059333,2014/10/20,138050,5522,44225,02,05,07,08,10,11,14,15,25,30,32,48,51,52,54,58,60,61,76,80,14,－,
賓果賓果,103059334,2014/10/20,147050,5882,39850,02,07,10,15,17,18,20,36,37,40,43,45,48,58,59,65,66,75,76,78,18,－,
賓果賓果,103059335,2014/10/20,156400,6256,85175,01,02,06,09,11,12,15,16,21,23,28,37,45,46,50,56,57,62,66,71,12,－,
賓果賓果,103059336,2014/10/20,170850,6834,39300,03,06,14,17,24,25,26,29,45,48,54,55,59,61,63,65,67,72,74,76,61,－,
賓果賓果,103059337,2014/10/20,218525,8741,84475,02,03,10,12,18,22,24,28,32,38,43,44,45,48,52,55,59,60,61,79,28,－,
賓果賓果,103059338,2014/10/20,243500,9740,33775,01,04,06,07,10,19,22,28,29,34,40,42,44,51,52,53,61,64,68,76,29,－,
賓果賓果,103059339,2014/10/20,272100,10884,59600,02,03,04,11,25,30,32,34,36,41,44,45,51,53,55,60,72,73,75,77,72,－,
賓果賓果,103059340,2014/10/20,217850,8714,39275,01,06,09,17,18,22,28,30,31,37,40,42,49,51,53,60,65,68,72,73,40,－,
賓果賓果,103059341,2014/10/20,242175,9687,571450,02,06,09,14,16,17,21,22,25,29,30,33,40,48,50,51,52,56,60,67,51,小,
賓果賓果,103059342,2014/10/20,224475,8979,66250,03,05,06,07,09,12,15,19,24,34,48,55,56,61,64,65,71,76,77,78,07,－,
賓果賓果,103059343,2014/10/20,244100,9764,65550,01,06,08,10,11,18,21,30,32,35,41,47,49,61,62,70,73,74,76,78,73,－,
賓果賓果,103059344,2014/10/20,168425,6737,104225,04,07,11,16,19,22,32,35,41,43,49,54,58,59,60,63,68,69,72,76,63,－,
賓果賓果,103059345,2014/10/20,276925,11077,171500,08,09,11,12,19,23,25,30,33,35,36,38,40,47,56,58,59,77,78,80,47,小,
賓果賓果,103059346,2014/10/20,242450,9698,86600,02,04,07,08,13,16,17,20,21,26,27,35,52,53,54,56,65,70,72,79,65,－,
賓果賓果,103059347,2014/10/20,160425,6417,74125,02,03,04,10,14,19,20,22,26,29,30,33,41,42,44,51,52,60,61,73,41,－,
賓果賓果,103059348,2014/10/20,232975,9319,590975,08,09,10,14,18,19,22,25,30,34,36,41,42,43,44,46,48,55,61,67,34,－,
賓果賓果,103059349,2014/10/20,264850,10594,107975,08,10,14,15,18,19,21,27,35,38,39,41,42,45,53,56,57,58,65,73,45,－,
賓果賓果,103059350,2014/10/20,188725,7549,40525,03,04,13,19,21,23,25,29,35,41,42,46,50,54,59,66,67,73,75,76,23,－,
賓果賓果,103059351,2014/10/20,177300,7092,62050,01,02,04,07,12,17,22,31,33,34,37,40,41,48,51,52,56,69,71,74,17,－,
賓果賓果,103059352,2014/10/20,202875,8115,250400,02,07,08,12,16,22,25,27,32,33,38,39,40,41,50,57,64,72,74,76,39,小,
賓果賓果,103059353,2014/10/20,235075,9403,40125,05,10,12,13,17,20,31,39,40,44,45,47,52,55,57,64,72,73,76,79,12,－,
賓果賓果,103059354,2014/10/20,140200,5608,57000,06,08,14,15,19,25,27,30,32,34,35,38,42,47,53,60,71,72,75,78,08,－,
賓果賓果,103059355,2014/10/20,170600,6824,28825,05,08,11,14,21,28,34,37,39,40,44,47,49,52,56,62,64,66,75,76,37,－,
賓果賓果,103059356,2014/10/20,191125,7645,48325,04,12,13,15,16,21,22,30,33,35,39,43,45,47,49,51,58,60,67,70,30,－,
賓果賓果,103059357,2014/10/20,203475,8139,52325,03,05,06,08,17,19,20,21,23,29,39,51,52,55,57,60,71,74,77,78,39,－,
賓果賓果,103059358,2014/10/20,225775,9031,49750,02,19,24,25,28,31,33,34,36,50,52,54,55,61,70,71,73,74,77,79,74,－,
賓果賓果,103059359,2014/10/20,246900,9876,33900,04,06,12,16,18,23,26,30,37,41,43,46,47,52,59,60,66,69,72,79,66,－,
賓果賓果,103059360,2014/10/20,275900,11036,39975,03,04,15,16,24,26,28,30,32,33,44,47,55,56,62,63,65,68,72,78,72,－,
賓果賓果,103059361,2014/10/20,235600,9424,55875,09,10,11,14,17,18,20,32,36,42,44,47,48,51,63,64,65,74,76,79,11,－,
